Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits
"2024-25","Fall","HNFE","4974","Independent Study","Engel","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","86344","  1"
"2024-25","Fall","HNFE","4974","Independent Study","Volpe","3.95","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","86345","  1"
"2024-25","Fall","MUS","2574","Individual Applied Flute","Lantz","3.72","83.3","0","0","0","0","16.7","0","0","0","0","0","0","0","6","88243","  1"
"2024-25","Fall","CHEM","4124","Instrumental Analysis Lab","Tissue","3.5","33.3","16.7","16.7","33.3","0","0","0","0","0","0","0","0","0","6","82937","  1"
"2024-25","Fall","UAP","5424","Metro. Planning Topics:Housing","Jones O'Brien","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","90217","  1"
"2023-24","Fall","HORT","4205","Public Garden Maint & Mgt","Douglas","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","86352","  1"
"2024-25","Fall","BMES","2984","SS: ESTEEMED Scholar Seminar","Arena","3.8","33.3","66.7","0","0","0","0","0","0","0","0","0","0","0","6","91761","  1"
"2024-25","Fall","WATR","1984","SS: First Year in Water","McGuire","3.95","83.3","16.7","0","0","0","0","0","0","0","0","0","0","0","6","92169","  1"
"2024-25","Fall","IDS","3224","TS: Exhibition Design","Sullivan","3.77","66.7","0","33.3","0","0","0","0","0","0","0","0","0","0","6","86498","  1"
"2024-25","Fall","BIOL","6404","TS: IOB Seminar","Hawley","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","90743","  1"
"2024-25","Fall","IDS","3234","TS: Studio Collective","Pritchett","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","86503","  1"
"2023-24","Fall","UAP","5424","TS:: Transportation Planning","Capers","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","90131","  1"
"2023-24","Fall","TA","3014","Theatre Production Lab","Holland","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","90049","  1"
"2023-24","Fall","DASC","4664","Translating Dairy Science","Cockrum","3.9","66.7","33.3","0","0","0","0","0","0","0","0","0","0","0","6","83637","  1"
"2023-24","Fall","BSE","4994","Undergraduate Research","Senger","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","82169","  1"
"2023-24","Fall","ECE","2994","Undergraduate Research","Sterne","2.95","66.7","0","0","0","0","0","0","0","0","16.7","16.7","0","0","6","83699","  1"
"2024-25","Fall","AOE","2994","Undergraduate Research","Artis","4","100","0","0","0","0","0","0","0","0","0","0","0","0","6","80432","  1"
"2023-24","Fall","MUS","2314","Woodwind Techniques I","Middleton","3.8","33.3","66.7","0","0","0","0","0","0","0","0","0","0","0","6","88211","  1"
"2023-24","Fall","ALCE","3494","Advanced Welding Technology","Mariger","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","90382","  1"
"2024-25","Fall","ALCE","3494","Advanced Welding Technology","Mariger","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","80270","  1"
"2023-24","Fall","COS","3015","App Science Leadership","Rowell","3.66","57.1","0","28.6","14.3","0","0","0","0","0","0","0","0","0","7","83255","  1"
"2024-25","Fall","COS","3015","App Science Leadership","Rowell","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","83237","  1"
"2023-24","Fall","BMVS","6094","Board Certification Topics","Keebaugh","3.47","57.1","0","14.3","14.3","0","0","14.3","0","0","0","0","0","0","7","82140","  1"
"2024-25","Fall","NEUR","5074","Current Topics in Neuroscience","Fu","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","88474","  1"
"2023-24","Fall","PPWS","5214","Diseases of Crop Plants","Rideout","3.91","71.4","28.6","0","0","0","0","0","0","0","0","0","0","0","7","91680","  1"
"2024-25","Fall","PPWS","5214","Diseases of Crop Plants","Rideout","3.9","85.7","0","14.3","0","0","0","0","0","0","0","0","0","0","7","89266","  1"
"2023-24","Fall","ECE","3274","Elctrnc Circuits Lab II","Baumann","3.06","28.6","0","14.3","0","42.9","0","14.3","0","0","0","0","0","0","7","83712","  1"
"2024-25","Fall","MSE","3324","Elementary Metal Casting Lab","Druschitz","3.14","28.6","0","14.3","42.9","0","0","0","14.3","0","0","0","0","0","7","88127","  1"
"2024-25","Fall","AOE","4205","Exper for Ocean Vehicle Design","Alexander","2.94","0","14.3","42.9","28.6","0","0","0","0","0","14.3","0","0","0","7","80470","  1"
"2024-25","Fall","SBIO","1004","Explorations in SBIO","Winans","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","89593","  1"
"2024-25","Fall","FST","4534","Food Chemistry Lab","Eifert","3.71","85.7","0","0","0","0","0","14.3","0","0","0","0","0","0","7","85798","  1"
"2023-24","Fall","FST","4314","Food Processing Laboratory","Wiersema","3.43","42.9","0","0","57.1","0","0","0","0","0","0","0","0","0","7","85786","  1"
"2024-25","Fall","SPES","5004","Graduate Seminar Plant Env Sci","Beers","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","89835","  1"
"2024-25","Fall","CHEM","2974","Independent Study","Wall","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","82922","  1"
"2023-24","Fall","MUS","2594","Individual Applied Clarinet","Dokshansky","4","100","0","0","0","0","0","0","0","0","0","0","0","0","5","88224","  1"
"2023-24","Fall","MUS","2614","Individual Applied Saxophone","Hutchins","3.86","80","0","0","20","0","0","0","0","0","0","0","0","0","5","88225","  1"
"2024-25","Fall","MUS","3314","Instrumental Ensemble Music","Bean","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","88272","  1"
"2024-25","Fall","MUS","3314","Instrumental Ensemble Music","Irrera","4","100","0","0","0","0","0","0","0","0","0","0","0","0","7","88279","  1"
"2023-24","Fall","COS","2164","Introduction to Scieneering","Watford","3.24","57.1","0","0","28.6","0","0","0","0","0","0","14.3","0","0","7","83251","  1"
